Variable,Group,Description,Unit / format,Data type,Transformation,Risk direction,Source institution,Source URL or DOI,Reference year / period,Spatial resolution / municipal processing,Documentation / validation notes
indice_pena_media_0_100,Security risk input,Criminality or penal-severity index on a 0--100 scale.,Index 0--100,Number,"Weighted municipal crime incidence using mean-sentence weights, normalized to 0–100.",Higher means higher risk,Policía Nacional; Colombian Criminal Code; own calculation,https://www.policia.gov.co/estadistica-delictiva,"Police crime records, 2025",Municipal crime records; Weighted crime incidence normalized to 0–100,Author-constructed 0–100 index from 2025 Police crime counts. Fourteen offenses are weighted in proportion to their mean statutory prison sentence under the Colombian Criminal Code; captures are not penal-weighted.
pocentaje_negro,Socio-territorial profile,Share of population identified in the source as Black or Afro-descendant.,Source proportion,Number,Diverse-population count / total municipal population × 100.,Not assigned to risk,DANE; calculated from CNPV 2018,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,2018,Census microdata/sector service; exact extraction unit not stated; Percentage of total municipal population,Calculated by the authors from DANE total population and the corresponding diverse-population count. The original variable spelling is retained for reproducibility.
pocentaje_raizal,Socio-territorial profile,Share of the Raizal population.,Source proportion,Number,Diverse-population count / total municipal population × 100.,Not assigned to risk,DANE; calculated from CNPV 2018,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,2018,Census microdata/sector service; exact extraction unit not stated; Percentage of total municipal population,Calculated by the authors from DANE total population and the corresponding diverse-population count. The original variable spelling is retained for reproducibility.
pocentaje_gitano,Socio-territorial profile,Share of the Rrom or Gitano population.,Source proportion,Number,Diverse-population count / total municipal population × 100.,Not assigned to risk,DANE; calculated from CNPV 2018,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,2018,Census microdata/sector service; exact extraction unit not stated; Percentage of total municipal population,Calculated by the authors from DANE total population and the corresponding diverse-population count. The original variable spelling is retained for reproducibility.
pocentaje_palanquero,Socio-territorial profile,Share of the Palenquero population.,Source proportion,Number,Diverse-population count / total municipal population × 100.,Not assigned to risk,DANE; calculated from CNPV 2018,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,2018,Census microdata/sector service; exact extraction unit not stated; Percentage of total municipal population,Calculated by the authors from DANE total population and the corresponding diverse-population count. The original variable spelling is retained for reproducibility.
pocentaje_indigena,Socio-territorial profile,Share of the Indigenous population.,Source proportion,Number,Diverse-population count / total municipal population × 100.,Not assigned to risk,DANE; calculated from CNPV 2018,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,2018,Census microdata/sector service; exact extraction unit not stated; Percentage of total municipal population,Calculated by the authors from DANE total population and the corresponding diverse-population count. The original variable spelling is retained for reproducibility.
indice_pena_media_0_100_imputado_para_risk,Derived risk,Criminality index after median imputation for score calculation.,Index 0--100,Number,Missing values replaced with national median.,Higher means higher risk,Policía Nacional; Colombian Criminal Code; own calculation,https://www.policia.gov.co/estadistica-delictiva,"Police crime records, 2025",Municipal crime records; Weighted crime incidence normalized to 0–100,Author-constructed 0–100 index from 2025 Police crime counts. Fourteen offenses are weighted in proportion to their mean statutory prison sentence under the Colombian Criminal Code; captures are not penal-weighted. Missing values are median-imputed for the risk score.
coca_log,Derived risk,Logarithm of coca-crop density.,log(1+ha/km2),Number,log(1+densidad_cultivos_coca_ha_km2).,Higher means higher risk,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
cercania_coca,Derived risk,Proximity to coca crops.,Unitless,Number,1/(1+dist_min_coca_km_risk).,Higher means higher risk,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
z_indice_pena_media,Derived risk,Population Z-score of the imputed criminality index.,Z-score,Number,(x-mean)/population standard deviation.,Higher means higher risk,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
z_cantidad_grupos_armados,Derived risk,Population Z-score of the imputed armed-group count.,Z-score,Number,(x-mean)/population standard deviation.,Higher means higher risk,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
z_coca_log,Derived risk,Population Z-score of log coca density.,Z-score,Number,(x-mean)/population standard deviation.,Higher means higher risk,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
z_cercania_coca,Derived risk,Population Z-score of coca proximity.,Z-score,Number,(x-mean)/population standard deviation.,Higher means higher risk,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
risk_raw_seguridad,Derived risk,Weighted raw security-risk score.,Unitless,Number,0.35*z_penal + 0.30*z_armed + 0.20*z_coca_log + 0.15*z_proximity.,Higher means higher relative risk,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
risk_score_01_calculado,Derived risk,Min--max normalized security-risk score.,0--1,Number,"(raw-min)/(max-min) over 1,122 municipalities.",Higher means higher relative risk,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
riesgo_categoria,Derived risk,Relative risk category.,Bajo/Medio/Alto,Text,P50=0.28080170; P75=0.39816811 over national universe.,Ordered low to high relative risk,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
tipo_abordaje_zona,Derived risk,Preliminary engagement mode associated with the relative category.,Category,Text,Bajo=Presencial; Medio=Presencial con precaucion; Alto=Remota.,More restrictive as relative risk rises,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
densidad_pixeles_disponibles_pct_exacta,Territorial availability,Exact availability percentage used for the >15% selection.,%,Number,"pixeles_con_viento × 62,500 m² / area_m2 × 100.",Not assigned to risk,Global Wind Atlas; own GIS calculation,https://globalwindatlas.info/en/area/Colombia,Global Wind Atlas product; extraction period not specified,250 × 250 m pixels; mean wind speed at 50 m; Pixel overlay by municipality,Exact percentage based on wind pixels contained in the municipality.
universo_111_densidad_gt15,Derived risk,Indicator for municipalities with exact availability greater than 15%.,SI/NO,Text,SI when densidad_pixeles_disponibles_pct_exacta > 15.,Not applicable,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
check_imputacion_indice_pena_media_0_100,Validation,Imputation status for the criminality index.,Status,Text,Generated by notebook.,Not applicable,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
check_cruce_divipola,Validation,Status of the join with the DIVIPOLA reference table.,OK/status,Text,Generated by notebook.,Not applicable,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
check_imputacion_risk_score,Validation,Summary imputation flag for any risk component.,Status,Text,Generated by notebook.,Not applicable,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
observacion_validacion,Validation,Consolidated validation note for the municipal record.,Text,Text,Generated by notebook.,Not applicable,Derived by VENTO_pipeline_reproducible.ipynb,Repository URL to be added,Inherits the reference periods of source variables,Not applicable; derived municipal output; Municipality / national reference universe as documented,Derived field. Source provenance must be traced to its component variables and the notebook.
